,Mean,Std,Max,Min,ExtremeVariance
GM_351,0.0015655651,0.006089798,0.033918012,-0.056738615,0.09065662
GM_352,0.0013505336,0.004310009,0.024673205,-0.03425506,0.058928266
GM_353,0.0003996309,0.0026154933,0.025478229,-0.014766933,0.04024516
GM_354,-0.00012994072,0.008916802,0.056389887,-0.059853133,0.11624302
GM_355,0.0026407584,0.0070001693,0.05646537,-0.064214505,0.12067987
GM_356,-0.006103085,0.0065963473,0.024281247,-0.054193944,0.07847519
GM_357,0.0008774123,0.0067414413,0.034293644,-0.048753217,0.08304686
GM_358,0.0012529717,0.009004463,0.061414976,-0.038963083,0.10037806
GM_359,0.00030147476,0.0018172852,0.009779619,-0.02565111,0.03543073
GM_360,0.00024848914,0.004161633,0.036118813,-0.0524874,0.08860621
GM_361,-0.0012163811,0.0047162264,0.027811367,-0.04118339,0.06899476
GM_362,-0.00066223706,0.006563494,0.03465884,-0.037493393,0.072152235
GM_363,-0.00071689533,0.0047430056,0.027893642,-0.030912463,0.058806106
GM_364,8.451108e-05,0.0052104155,0.056600764,-0.028658874,0.08525964
